Cruise,Station,Latitude ,Longitude,CTDPRS [DBARS],CTDTMP [ITS-90],SALNTY [PSS-78],TALK [UMOL/KG],pH [UMOL/KG],TCO2 in (mmol/kgSW),NO2+NO3 [umol/kg],PO4 [UMOL/KG],SiO2 [umol/kg],Ar,,,,,,
RFI,265,62.4506,327.96082,10.763,7.6848,34.965,2319.76,8.112,1971,7.35,0.5,0.41,2.29,,,,,,
RFI,265,62.4506,327.96082,21.01,7.6517,34.962,2321.27,8.105,1976.8,7.67,0.52,0.71,1.92,,,,,,
RFI,265,62.4506,327.96082,51.154,6.4267,34.998,2321.45,8.036,2019.2,12.97,0.93,6.32,1.73,,,,,,
RFI,265,62.4506,327.96082,101.853,6.125,35.008,2323.3701,8.03,2024.5,14.24,1,6.86,2.19,,,,,,
RFI,267,62.4529,326.4209,1.0127,8.0006,34.866,2315.49,8.101,1975,7.19,0.51,3.51,2.19,,,,,,
RFI,267,62.4529,326.4209,9.0539,8.0017,34.866,2316.0901,8.101,1975.5,7.26,0.51,3.52,2.16,,,,,,
RFI,267,62.4529,326.4209,19.059,7.9847,34.866,2317.3301,8.096,1979.8,7.03,0.51,3.27,1.79,,,,,,
RFI,267,62.4529,326.4209,51.667,5.7111,34.932,2319.8501,8.041,2015.3,12.45,0.92,6.76,1.74,,,,,,
RFI,267,62.4529,326.4209,100.85,5.3969,34.959,2318.95,8.019,2027.3,15.16,1.08,7.57,2.16,,,,,,
RFI,269,62.4498,324.48941,2.643,7.9926,34.948,2316.3799,8.111,1968.8,6.71,0.45,0.24,2.16,,,,,,
RFI,269,62.4498,324.48941,19.545,7.5223,34.963,2318.6299,8.093,1982.1,8.37,0.58,1.18,2.13,,,,,,
RFI,269,62.4498,324.48941,49.649,6.7317,35.064,2317.8301,8.035,2016.1,13.08,0.91,6.1,1.76,,,,,,
RFI,269,62.4498,324.48941,99.759,6.4314,35.058,2321.6599,8.026,2024.9,14.18,0.98,6.54,1.65,,,,,,
RFI,269,62.4498,324.48941,99.759,6.4314,35.058,,8.027,2024.8,14.18,0.98,6.54,,,,,,,
RFI,271,62.4505,322.57928,1.934,7.277,34.876,2312.8601,8.105,1970,7.92,0.56,1.85,2.21,,,,,,
RFI,271,62.4505,322.57928,10.726,7.2654,34.877,2312.8201,8.104,1970.6,7.94,0.55,1.8,2.09,,,,,,
RFI,271,62.4505,322.57928,20.114,7.1925,34.883,2313.9399,8.105,1970.9,8.04,0.55,1.83,1.81,,,,,,
RFI,271,62.4505,322.57928,52.728,6.2566,34.99,2319.21,8.057,2004.7,11.09,0.85,4.76,1.75,,,,,,
RFI,271,62.4505,322.57928,99.546,5.789,34.015,2320.97,8.03,2029.7,14.54,1.03,7,1.68,,,,,,
RFI,274,62.4406,319.98691,2.548,7.2452,34.964,2321.6101,8.096,1982.8,8.81,0.72,0.7,2.08,,,,,,
RFI,274,62.4406,319.98691,10.016,7.2372,34.963,2320.1799,8.092,1984.1,8.87,0.65,0.68,2.06,,,,,,
RFI,274,62.4406,319.98691,18.518,7.0135,34.966,2319.79,8.104,1976.1,8.86,0.64,0.72,2.09,,,,,,
RFI,274,62.4406,319.98691,29.21,6.933,34.964,,,,8.89,0.63,0.89,,,,,,,
RFI,274,62.4406,319.98691,50.325,6.4935,34.995,2325.05,8.069,2002.6,11.07,0.78,2.36,1.91,,,,,,
RFI,274,62.4406,319.98691,99.244,6.2751,35.018,2322.6201,8.045,2014.8,12.7,0.93,5.17,1.8,,,,,,
RFI,275,62.1463,320,2.402,7.0836,34.94,2317.6299,8.096,1979.5,8.98,0.7,0.67,2.08,,,,,,
RFI,275,62.1463,320,11.627,7.0855,34.939,2318.51,8.098,1979,8.77,0.62,0.62,2.08,,,,,,
RFI,275,62.1463,320,20.872,6.9329,34.939,2320.25,8.097,1981.2,8.96,0.63,0.77,2.07,,,,,,
RFI,275,62.1463,320,31.398,6.8522,34.949,2321.54,,,9.44,0.67,1.17,1.8,,,,,,
RFI,275,62.1463,320,51.343,6.5743,34.996,2321.54,8.07,1998.8,10.35,0.74,2.23,1.92,,,,,,
RFI,275,62.1463,320,101.981,6.3337,35.009,2321.5601,8.043,2015.1,12.35,0.9,4.55,2.26,,,,,,
RFI,277,62.1486,321.58829,3.434,7.4082,34.897,2316.1001,8.135,1953.4,6.07,0.39,0.11,2.26,,,,,,
RFI,277,62.1486,321.58829,9.779,7.4139,34.896,2318.29,8.135,1955.3,6.07,0.39,0.12,2.25,,,,,,
RFI,277,62.1486,321.58829,19.946,7.2329,34.898,2318.9399,8.136,1955.2,6.24,0.4,0.33,1.88,,,,,,
RFI,277,62.1486,321.58829,53.037,6.3468,34.969,2300.8,8.066,1982.7,10.72,0.76,4.63,1.87,,,,,,
RFI,277,62.1486,321.58829,101.065,5.6761,34.994,2319.8999,8.031,2020.8,14.16,1.01,6.7,2.11,,,,,,
RFI,278,62.1467,322.77829,3.404,7.8968,34.884,2312.9399,8.09,1979.5,8.36,0.61,2.67,2.01,,,,,,
RFI,278,62.1467,322.77829,8.551,7.7625,34.884,2315.0901,8.094,1978.9,8.28,0.56,2.59,1.76,,,,,,
RFI,278,62.1467,322.77829,21.137,7.4949,34.879,2315.04,8.074,1991.4,9.5,0.67,3.52,1.71,,,,,,
RFI,278,62.1467,322.77829,52.229,6.3091,35.029,2322.4099,8.029,2024,14.58,0.97,6.53,1.69,,,,,,
RFI,278,62.1467,322.77829,103.205,5.9557,35.026,2308.8401,8.027,2012.9,15.18,1.02,6.95,1.7,,,,,,
